section,payment_nature,payment_section,code
231B(3)/4,Withheld Income Tax (Adjustable),Motor Vehicle Sale u/s 231B(3) (2501cc to 3000cc) – on value of vehicle,64100315
231B(3)/5,Withheld Income Tax (Adjustable),Motor Vehicle Sale u/s 231B(3) (Above 3000cc) – on value of vehicle,64100316
147(6C)/1,Withheld Income Tax (Adjustable),147 (6C) Advance tax @ 1% Export proceeds,64010037
150/14,Withheld Income Tax (Final),Dividend u/s 150 - Dividend received from Mutual Funds driving 50% or more income from profit on debt (ATL @25% / Non-ATL @50%),64330050
147,Advance Income Tax,Advance Income Tax u/s 147 read with section 7F,92027
236G/1,Withheld Income Tax (Adjustable),Purchase of other commodities by Distributors / Dealers / Wholesalers u/s 236G (ATL @0.1% / Non-ATL @2%),64150701
150/15,Withheld Income Tax (Final),Dividend u/s 150 - Dividend received from debt securities mutual funds,64330050
151(1)(a),Withheld Income Tax (Final),151(1)(a) - Profit on Debt u/s 151 from NSC / PO Deposits,64040051
151(1)(b),Withheld Income Tax (Final),151(1)(b) - Profit on Debt u/s 151 from Bank Accounts / Deposits,64040052
151(1)(c),Withheld Income Tax (Final),151(1)(c) - Profit on Debt u/s 151 from Government Securities,64040053
151(1)(d),Withheld Income Tax (Final),151(1) (d) - Profit on Debt u/s 151 from Others,64040054
151(1)(a)/4,Withheld Income Tax (Adjustable),151(1)(a) - Profit on Debt u/s 151 from NSC / PO Deposits,64040001
151(1)(b)/4,Withheld Income Tax (Adjustable),151(1)(b) - Profit on Debt u/s 151 from Bank Accounts / Deposits,64040002
151(1)(c)/4,Withheld Income Tax (Adjustable),151(1)(c) - Profit on Debt u/s 151 from Government Securities,64040003
151(1)(d)/4,Withheld Income Tax (Adjustable),151(1) (d) - Profit on Debt u/s 151 from Others,64040004
152(1C)/2,Withheld Income Tax (Final),Fee for offshore digital services u/s 152 (1C),64050057
152(2A)(b)/9,Withheld Income Tax (Final),"Payment for Other Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule (ATL @ 15% / Non-ATL @ 30%)",64050065
152(2A)(c)/8,Withheld Income Tax (Final),"Payment to Non-Resident Sports Person u/s 152(2A)(c) / Division II, Part III, 1st Schedule (ATL @ 15% / Non-ATL @ 30%)",64050071
4AB/1,Withheld Income Tax (Adjustable),Surcharge on high earning person u/s 4AB,64020006
149/5,Withheld Income Tax (Final),Pension u/s 149 where the amount of pension received exceeds rupees ten million and not attained the age of 70 years,64020007
151A/1,Withheld Income Tax (Final),Gain arising on pre-mature disposal of government securities u/s 151A,64330072
153(2A)/1,Withheld Income Tax (Final),Payment for Goods u/s 153(2A) through Digital means @1%,64060557
153(2A)/2,Withheld Income Tax (Final),Payment for Goods u/s 153(2A) through Courier Service @2%,64060558
150/16,Withheld Income Tax (Final),Dividend u/s 150 – Dividend received from investments in equities mutual funds,64330073
152(2A)(b)/10,Withheld Income Tax (Final),"Payment for Specified Services u/s 152(2A)(b) / Division II, Part III, 1st Schedule (ATL @ 8% / Non-ATL @ 16%)",64340212
153(1)(b)/30,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @3%,64060156
236A(1)/1,Withheld Income Tax (Final),Purchase by Auction u/s 236A(1) (ATL @ 3% / Non-ATL @ 6%),64150104
DPPL/1,Withheld Income Tax (Final),Payment for foreign supply of goods,64050101
DPPL/2,Withheld Income Tax (Final),Payment for foreign supply of services,64050102
152(1D)/2,Withheld Income Tax (Final),"Tax deductible from non-residents on capital gains on debt instruments/Government securities invested through SCRA u/s 152(1D) /Division II, Part III,1st Schedule (holding period less than six months)",64060085
151B/1,Withheld Income Tax (Final),Payment on Life Insurance Payouts within 1 year of issue of policy / takaful u/s 151B (ATL @15%/ Non-ATL @30%),64040030
151B/2,Withheld Income Tax (Final),Payment on life insurance payouts after 1 year but before 4 years u/s 151B (ATL@10%/ Non-ATL@20%),64040031
153(1)(b)/32,Withheld Income Tax (Final),Payment for specified services u/s 153(1)(b) (ATL@7%/Non-ATL@14%),64060186
153(1)(b)/33,Withheld Income Tax (Final),Payment to companies for terminal and port operating services u/s 153(1)(b) (ATL@12%/Non-ATL@24%,64060188
153(1)(b)/34,Withheld Income Tax (Final),Payment for services u/s 153(1)(b) (ATL@14%/ Non-ATL@28%),64060178
154B/1,Withheld Income Tax (Final),Payment on social media platform u/s 154B (ATL@5%/ Non-ATL@10%),64070401
153(1)(b)/35,Withheld Income Tax (Final),Payment for Services of Independent Professionals u/s 153(1)(b) (ATL @ 15% / Non-ATL @30%),64060187
154(1)/3,Withheld Income Tax (Final),Export Proceeds u/s 154(1) @1.25%,64070054
